name_TGSS,ra_TGSS,dec_TGSS,integrated_TGSS,peak_TGSS,major_ax_TGSS,minor_ax_TGSS,posangle_TGSS,score,best_match
TGSSADR J100028.1-201715,150.11729,-20.28765,0.0943,0.1061,30.4,23.8,-2.0,0,
TGSSADR J101347.0-160633,153.44614,-16.10932,0.0229,0.0183,36.1,26.5,12.4,0,
TGSSADR J101118.5-253913,152.82742,-25.65388,0.032100000000000004,0.0316,35.3,25.1,0.7,0,
TGSSADR J104633.4-161110,161.63947,-16.18616,0.0401,0.0279,36.7,29.9,28.2,0,
TGSSADR J103546.0-232322,158.94208,-23.38964,0.1062,0.0909,36.3,27.5,7.2,0,
TGSSADR J104258.3-232425,160.74303,-23.40716,0.0408,0.0353,38.3,25.8,10.5,0,
TGSSADR J095805.4-290720,149.5229,-29.122290000000003,0.103,0.0495,59.2,33.8,4.2,0,
TGSSADR J095808.3-290649,149.53473,-29.11362,0.0845,0.0518,43.0,36.4,-21.2,0,
TGSSADR J095812.0-290600,149.55032,-29.1002,0.0609,0.0464,50.8,24.8,3.1,0,
TGSSADR J101853.5-265610,154.7231,-26.93615,0.1227,0.0648,46.1,37.0,55.0,0,
TGSSADR J100922.4-253511,152.34344,-25.58653,0.0599,0.049,39.0,27.5,8.3,0,
TGSSADR J105904.2-185337,164.76773,-18.89381,0.0681,0.036000000000000004,46.9,31.4,-84.8,0,
TGSSADR J101438.8-290248,153.66206,-29.04672,0.0962,0.0481,46.6,39.9,46.2,0,
TGSSADR J101708.0-184950,154.28345,-18.83076,0.0507,0.0388,39.5,25.8,12.0,0,
TGSSADR J103155.9-233812,157.98323,-23.63668,0.1417,0.1248,35.9,26.3,4.2,0,
TGSSADR J111406.2-152824,168.52608,-15.47339,0.0665,0.0337,41.6,36.3,53.4,0,
TGSSADR J110821.9-260513,167.09129,-26.08695,0.0689,0.0505,47.4,25.2,17.5,0,
TGSSADR J104202.0-233814,160.50853999999995,-23.63727,0.1482,0.1268,35.7,27.9,-1.8,0,
TGSSADR J104539.5-313819,161.41467,-31.63863,0.0871,0.0756,40.2,28.5,4.4,0,
TGSSADR J105518.6-313822,163.82756,-31.63945,0.046700000000000005,0.0437,39.7,26.8,4.1,0,
TGSSADR J105029.6-314238,162.62335,-31.71077,0.0439,0.0237,58.2,31.7,7.8,0,
TGSSADR J111122.1-234800,167.84229,-23.80003,0.0532,0.0465,34.8,27.4,13.7,0,
TGSSADR J105447.4-284719,163.69754,-28.78879,0.0367,0.0263,45.5,28.4,6.8,0,
TGSSADR J102204.7-183904,155.51996,-18.65114,0.0676,0.0428,46.3,26.6,39.5,0,
TGSSADR J110327.8-151950,165.86592,-15.33064,0.0253,0.027100000000000003,29.5,23.8,5.5,0,
TGSSADR J104544.0-283804,161.43356,-28.63461,0.0543,0.0332,51.0,29.8,11.8,0,
TGSSADR J105957.9-332906,164.99161,-33.48506,0.040200000000000014,0.0383,42.0,25.8,5.6,0,
TGSSADR J105413.5-315318,163.55656000000005,-31.88853,0.0297,0.0235,43.9,28.6,2.1,0,
TGSSADR J102008.8-182517,155.03688,-18.42144,0.0303,0.0265,32.6,27.4,8.9,0,
TGSSADR J100834.9-182250,152.14569,-18.38061,0.0943,0.0716,37.7,27.8,5.3,0,
TGSSADR J105734.2-332453,164.39281,-33.41476,0.1658,0.0343,116.8,42.7,9.5,0,
TGSSADR J102345.4-313757,155.93923999999996,-31.63264,0.046,0.0384,44.5,26.8,0.7,0,
TGSSADR J104815.2-191246,162.06358,-19.21304,0.0511,0.0383,34.2,31.0,89.9,0,
TGSSADR J102042.8-192552,155.17845,-19.43115,0.0478,0.0314,43.8,28.3,31.0,0,
TGSSADR J103352.9-230913,158.47069,-23.15386,0.0405,0.0318,38.7,27.4,7.6,0,
TGSSADR J101113.4-154303,152.80603,-15.71776,0.0193,0.0215,28.3,24.2,5.4,0,
TGSSADR J110639.5-211249,166.66489,-21.21361,0.1143,0.1109,33.2,25.8,-43.7,0,
